project,timestamp,message
adamspannbauer.github.io,2018-03-19 11:46:44 -0400,"Trigger rebuild"
adamspannbauer.github.io,2018-03-19 11:36:53 -0400,"chatbot post"
adamspannbauer.github.io,2018-03-05 08:16:05 -0500,"resnet search engine post"
adamspannbauer.github.io,2018-03-02 23:30:26 -0500,"dominant color post"
adamspannbauer.github.io,2018-02-14 09:16:00 -0500,"r python keras as image"
adamspannbauer.github.io,2018-02-10 10:38:46 -0500,"diamonds"
adamspannbauer.github.io,2018-02-05 08:48:16 -0500,"update to pack bar post"
adamspannbauer.github.io,2018-02-04 10:02:17 -0500,"rpackedbar cran post"
adamspannbauer.github.io,2018-01-31 09:36:42 -0500,"rbloggers submission prep (full text rss and link in footer)"
adamspannbauer.github.io,2018-01-26 14:05:44 -0500,"yt react post"
adamspannbauer.github.io,2018-01-21 12:21:18 -0500,"snake post"
adamspannbauer.github.io,2018-01-16 16:36:06 -0500,"regex app post"
adamspannbauer.github.io,2018-01-12 14:26:52 -0500,"packed barchart post"
adamspannbauer.github.io,2017-12-28 11:45:01 -0500,"added git repo link to ssbm cv post"
adamspannbauer.github.io,2017-12-28 11:02:09 -0500,"new cv ssbm post"
adamspannbauer.github.io,2017-12-24 17:24:32 -0500,"xmas post"
adamspannbauer.github.io,2017-12-17 16:33:45 -0500,"corrected title"
adamspannbauer.github.io,2017-12-17 16:25:07 -0500,"new post on autotldr"
adamspannbauer.github.io,2017-05-05 14:02:14 -0400,"restructure"
adamspannbauer.github.io,2017-05-05 13:55:23 -0400,"restructure"
adamspannbauer.github.io,2017-05-05 13:53:15 -0400,"restructure"
adamspannbauer.github.io,2017-05-05 13:38:41 -0400,"resume update"
adamspannbauer.github.io,2017-04-09 22:44:10 -0400,"pic fix attempt"
adamspannbauer.github.io,2017-04-09 22:25:27 -0400,"pic fix attempt"
adamspannbauer.github.io,2017-04-09 22:16:46 -0400,"fb messenger bot post"
app_rasa_chat_bot,2018-03-28 12:24:58 -0400,"format style updates"
app_rasa_chat_bot,2018-03-27 20:15:51 -0400,"added pycharm .idea/ to gitignore"
app_rasa_chat_bot,2018-03-27 20:14:40 -0400,"upgraded to python3"
app_rasa_chat_bot,2018-03-19 15:12:15 -0400,"Update README.md"
app_rasa_chat_bot,2018-03-19 15:11:46 -0400,"Update README.md"
app_rasa_chat_bot,2018-03-19 12:10:07 -0400,"updated app data"
app_rasa_chat_bot,2018-03-19 11:29:01 -0400,"annotated charts png"
app_rasa_chat_bot,2018-03-19 11:24:01 -0400,"added itunes chart screenshot"
app_rasa_chat_bot,2018-03-16 16:10:13 -0400,"updated dash gif"
app_rasa_chat_bot,2018-03-15 15:27:24 -0400,"increased res in dsah demo gif"
app_rasa_chat_bot,2018-03-15 15:22:06 -0400,"added callback to clear text input after sending message in dash; and added dash gif to readme"
app_rasa_chat_bot,2018-03-15 07:33:25 -0400,"converted bot output response to list for dash formatting purposes"
app_rasa_chat_bot,2018-03-14 23:38:49 -0400,"Update README.md"
app_rasa_chat_bot,2018-03-14 23:38:08 -0400,"Update README.md"
app_rasa_chat_bot,2018-03-14 23:35:07 -0400,"Merge branch 'master' of https://github.com/AdamSpannbauer/app_rasa_chat_bot"
app_rasa_chat_bot,2018-03-14 23:34:30 -0400,"added demo dash app"
app_rasa_chat_bot,2018-03-14 20:49:33 -0400,"Update gen_training_data.py"
app_rasa_chat_bot,2018-03-14 20:48:15 -0400,"Update live_test_rasa.py"
app_rasa_chat_bot,2018-03-14 18:54:23 -0400,"rm unneeded imports from gen train data file"
app_rasa_chat_bot,2018-03-14 18:51:44 -0400,"restructured repo"
app_rasa_chat_bot,2018-03-14 17:33:23 -0400,"added all known nes as regex features in training data"
app_rasa_chat_bot,2018-03-14 13:30:47 -0400,"changed default query response and updated gif"
app_rasa_chat_bot,2018-03-13 20:56:51 -0400,"first pass on more "realistic" bot experience"
app_rasa_chat_bot,2018-03-12 16:37:23 -0400,"Update README.md"
app_rasa_chat_bot,2018-03-12 16:34:38 -0400,"updated results screenshot"
app_rasa_chat_bot,2018-03-12 16:26:20 -0400,"added generic templated response"
app_rasa_chat_bot,2018-03-12 12:27:35 -0400,"Update README.md"
app_rasa_chat_bot,2018-03-12 12:26:48 -0400,"updated readme to show current state"
app_rasa_chat_bot,2018-03-12 12:21:20 -0400,"Merge branch 'master' of https://github.com/AdamSpannbauer/app_rasa_chat_bot"
app_rasa_chat_bot,2018-03-12 12:21:07 -0400,"updates from weekend work"
app_rasa_chat_bot,2018-03-09 21:13:17 -0500,"Update README.md"
app_rasa_chat_bot,2018-03-09 21:10:52 -0500,"updated training data and rebuilt model"
app_rasa_chat_bot,2018-03-06 10:41:51 -0500,"Update README.md"
app_rasa_chat_bot,2018-03-06 10:38:13 -0500,"first pass rasa nlu model"
app_rasa_chat_bot,2018-03-05 14:33:49 -0500,"Initial commit"
cartel_site_test,2018-03-23 16:16:06 -0400,"first pass layout and css"
cartel_site_test,2018-03-23 15:57:38 -0400,"album art move"
cartel_site_test,2018-03-23 15:56:58 -0400,"test mp3 and album art"
cartel_site_test,2018-03-23 15:49:39 -0400,"Initial commit"
diamond_pricing,2018-02-07 14:08:03 -0500,"Create README.md"
diamond_pricing,2018-02-07 14:07:52 -0500,"Initial commit"
git_commit_report,2018-04-08 13:37:25 -0400,"Initial commit"
image_style_transfer,2017-10-19 07:52:48 -0400,"Initial commit"
iphone_app_icon,2018-03-04 22:18:14 -0500,"Update imagenet_search.py"
iphone_app_icon,2018-03-04 21:52:25 -0500,"using pooling arg instead of manually flattening resnet output"
iphone_app_icon,2018-03-04 19:46:28 -0500,"search enging flow diagram"
iphone_app_icon,2018-03-04 17:03:52 -0500,"added screenshots for blog"
iphone_app_icon,2018-03-04 16:41:48 -0500,"added screenshot for blog"
iphone_app_icon,2018-03-04 16:35:05 -0500,"added screenshot for blog"
iphone_app_icon,2018-03-04 16:17:38 -0500,"cleaned up imagenet feature search scripts for blog"
iphone_app_icon,2018-03-02 22:48:01 -0500,"cleaned up dominant color plot for blog"
iphone_app_icon,2018-03-02 22:34:41 -0500,"Merge branch 'master' of https://github.com/AdamSpannbauer/iphone_app_icon"
iphone_app_icon,2018-03-02 22:34:30 -0500,"cleaned up sort icons script for blog"
iphone_app_icon,2018-03-02 10:27:30 -0500,"Update README.md"
iphone_app_icon,2018-03-02 10:22:44 -0500,"added icons to plot"
iphone_app_icon,2018-03-01 22:23:54 -0500,"minimal comment addition"
iphone_app_icon,2018-03-01 22:22:08 -0500,"Update README.md"
iphone_app_icon,2018-03-01 22:21:20 -0500,"Update README.md"
iphone_app_icon,2018-03-01 22:08:47 -0500,"added example plot output"
